Date,Substance,nombre d'infractions,Répartition des substances consommées (plusieurs substances peuvent être saisies pour 1 infraction),
2009,Total,43272,53512,
2009,Amphétamines,182,816,
2009,Crack,13,22,
2009,Ecstasy,98,766,
2009,Cocaïn,4533,8573,
2009,Feuilles de coca,5,10,
2009,Métamphétamine,84,167,
2009,Khat,67,70,
2009,Cannabis,162,268,
2009,Chanvre (jeunes plantations),11,37,
2009,Chanvre (plante sèche),120,249,
2009,Chanvre (plante fraiche),59,191,
2009,Haschisch,2552,5199,
2009,Marijuana,21953,27518,
2009,Huile de Haschisch,1,19,
2009,Graines de cannabis,22,81,
2009,Héroïne,4755,7376,
2009,Méthadone,108,415,
2009,Autres produits de substitution,6,18,
2009,Morphine/Héroïne-base,8,36,
2009,Opium,3,27,
2009,LSD,23,233,
2009,Mescaline,3,17,
2009,Champignons hallucinogènes (Psilocybes),18,84,
2009,Autres hallucinogènes,16,29,
2009,Flunitrazepam (Rohypnol),5,25,
2009,GHB/GBL,66,120,
2009,Médicament en vente libre cont. subst. stupéf.,15,25,
2009,Médicament sur ordonnance cont. subst. stupéf.,254,566,
2009,Substances de coupage,4,17,
2009,Autre substance stupéfiante,103,359,
2009,Plusieurs 1),7875,-,
2009,Inconnue,20,51,
2009,Sans indication,128,128,
2010,Total,44071,53968,
2010,Amphétamines,251,1013,
2010,Crack,18,36,
2010,Ecstasy,76,574,
2010,Cocaïn,4245,8144,
2010,Feuilles de coca,7,10,
2010,Métamphétamine,65,184,
2010,Khat,85,86,
2010,Cannabis,30,44,
2010,Chanvre (jeunes plantations),17,59,
2010,Chanvre (plante sèche),180,294,
2010,Chanvre (plante fraiche),63,199,
2010,Haschisch,2085,4320,
2010,Marijuana,24232,29735,
2010,Huile de Haschisch,9,33,
2010,Graines de cannabis,23,80,
2010,Héroïne,4448,7004,
2010,Méthadone,107,442,
2010,Autres produits de substitution,5,22,
2010,Morphine/Héroïne-base,3,7,
2010,Opium,4,24,
2010,LSD,25,227,
2010,Mescaline,0,5,
2010,Champignons hallucinogènes (Psilocybes),43,125,
2010,Autres hallucinogènes,4,12,
2010,Flunitrazepam (Rohypnol),2,14,
2010,GHB/GBL,58,115,
2010,Médicament en vente libre cont. subst. stupéf.,3,18,
2010,Médicament sur ordonnance cont. subst. stupéf.,328,761,
2010,Substances de coupage,1,19,
2010,Autre substance stupéfiante,62,296,
2010,Plusieurs 1),7540,-,
2010,Inconnue,12,26,
2010,Sans indication,40,40,
2011,Amphétamines,256,1123,
2011,Crack,2,8,
2011,Ecstasy,130,657,
2011,Cocaïn,4078,7561,
2011,Feuilles de coca,2,5,
2011,Métamphétamine,50,157,
2011,Khat,70,79,
2011,Cannabis,5,13,
2011,Chanvre (jeunes plantations),5,50,
2011,Chanvre (plante sèche),64,140,
2011,Chanvre (plante fraiche),75,217,
2011,Haschisch,2124,3999,
2011,Marijuana,25461,30363,
2011,Huile de Haschisch,2,21,
2011,Graines de cannabis,11,71,
2011,Héroïne,3718,5898,
2011,Méthadone,99,369,
2011,Autres produits de substitution,11,24,
2011,Morphine/Héroïne-base,3,10,
2011,Opium,4,31,
2011,LSD,21,197,
2011,Mescaline,0,4,
2011,Champignons hallucinogènes (Psilocybes),49,141,
2011,Autres hallucinogènes,8,27,
2011,Flunitrazepam (Rohypnol),1,3,
2011,GHB/GBL,120,172,
2011,Médicament en vente libre cont. subst. stupéf.,8,13,
2011,Médicament sur ordonnance cont. subst. stupéf.,516,998,
2011,Substances de coupage,3,35,
2011,Autre substance stupéfiante,59,154,
2011,Plusieurs 1),6723,-,
2011,Inconnue,16,30,
2011,Sans indication,17,17,
2012,Total,44789,53944,
2012,Amphétamines,295,1280,
2012,Crack,4,13,
