
Infractions / art.;Substances;Infractions;Répartition des substances consommées (plusieurs substances peuvent être saisies pour 1 infraction);
Consommation (contravention);
;Total;35728;46912;
;Amphétamines;427;1754;
;Crack;23;57;
;Ecstasy;244;1146;
;Cocaïn;5374;9913;
;Feuilles de coca;20;21;
;Métamphétamine;259;671;
;Khat;8;8;
;Méphédrone;6;7;
;MDPV (3,4-méthylènedioxypyrovalérone);4;17;
;Chanvre (jeunes plantation);10;67;
;Chanvre (plante sèche);21;78;
;Chanvre (plante fraiche);15;96;
;Haschisch;2472;4868;
;Marijuana;15462;21458;
;Huile de Haschisch;5;43;
;Graines de cannabis;185;332;
;Cannabinoïdes de synthèse;31;48;
;Héroïne;2294;3851;
;Méthadone;64;262;
;Autres produits de substitution;7;23;
;Morphine/Héroïne-base;20;73;
;Opium;14;41;
;LSD;39;276;
;Mescaline;0;7;
;Champignons hallucinogènes (Psilocybes);50;155;
;Autres hallucinogènes;17;53;
;GHB/GBL;36;91;
;Médicament en vente libre cont. subst. stupéf.;9;34;
;Médicament sur ordonnance cont. subst. stupéf.;376;1112;
;Mat. prem/prod. avec effet prés. sembl. à stup.;3;7;
;Substances de coupage;10;56;
;Autre substance stupéfiante;129;231;
;Plusieurs 1);8064;_;
;Inconnu;23;49;
;Sans indication;7;7;
